Gene name	Mean of ratios
c16a3.02c	2.095
c16a3.03c	0.733
c16a3.03c.rc	1.060
c16a3.04	0.683
c16a3.06	1.107
c16a3.07c	1.075
c16a3.07c.rc	1.091
c16a3.08c	0.346
c16a3.10	0.985
c16a3.12c	0.903
c16a3.14	0.976
c16a3.16	1.029
c16a3.17c	1.476
c16a3.18	1.389
c16a3.19	0.748
c16c4.02c	0.866
c16c4.03	1.240
c16c4.03.rc	1.258
c16c4.04	1.147
c16c4.05	0.820
c16c4.06c	1.246
c16c4.07	1.010
c16c4.08c	0.460
c16c4.10	1.538
c16c4.12	0.911
c16c4.15	0.936
c16c4.16c	0.877
c16c4.17	1.202
c16c4.18c	1.089
c16c4.19	1.120
c16c4.20c	0.855
c16c4.21	
c16c6.01c	0.911
c16c6.03c	1.208
c16c6.04	1.104
c16c6.05	0.585
c16c6.08c	0.660
c16c6.09	0.874
c16c6.12c	0.522
c16c9.01c	1.469
c16c9.02c	1.039
c16c9.03	0.701
c16c9.04c	0.810
c16c9.05	0.951
c16c9.06c	1.191
c16d10.01c	0.590
c16d10.02	
c16d10.03	0.841
c16d10.06	1.726
c16d10.07c	1.022
c16d10.08c	0.559
c16d10.10	1.224
c16e8.01	1.170
c16e8.02	1.648
c16e8.04c	0.877
c16e8.06c	0.549
c16e8.07c	1.029
c16e8.08	1.184
c16e8.10c	0.980
c16e8.11c	1.845
c16e8.12c	1.030
c16e8.13	1.238
c16e8.14c	0.676
c16e8.16	1.607
c16e8.17c	0.905
c16e8.18	0.906
c16e9.01c	0.916
c16e9.02c	1.088
c16e9.03c	0.974
c16e9.05	0.788
c16e9.07	1.116
c16e9.08	1.169
c16e9.09c	0.789
c16e9.10c	0.728
c16e9.11c	1.453
c16e9.13	1.201
c16e9.14c	1.212
c16e9.15	1.231
c16e9.16c	2.018
c16e9.19	1.148
c16g5.02c	1.705
c16g5.03	1.304
c16g5.04	0.779
c16g5.05c	0.731
c16g5.06	1.082
c16g5.07c	1.080
c16g5.09	1.320
c16g5.10	0.685
c16g5.13	0.861
c16g5.15c	0.989
c16g5.15c.rc	
c16g5.16	1.184
c16g5.17	0.939
c16g5.19	
c16h5.04	0.651
c16h5.05c	0.904
c16h5.08c	0.535
c16h5.09c	1.025
c16h5.12c	1.238
c16h5.13	1.477
c16h5.14c	1.078
c16h5.15	0.614
c1703.01c	1.084
c1703.02	0.975
c1703.03c	0.786
c1703.04	1.341
c1703.05	0.711
c1703.06	1.090
c1703.07	0.597
c1703.08c	0.498
c1703.09	1.198
c1703.11	0.961
c1703.12	1.354
c1703.13c	0.489
c1705.02	1.057
c1705.02.rc	0.720
c1706.01	0.644
c1706.01.rc	0.867
c1709.03	1.003
c1709.04c	0.679
c1709.06	1.038
c1709.07	1.057
c1709.08	1.114
c1709.09	
c1709.10c	1.032
c1709.11c	1.310
c1709.12	0.957
c1709.13c	0.787
c1709.14	0.963
c1709.15c	0.977
c1709.16c	1.169
c1709.17	0.744
c1709.17.rc	0.910
c1709.20	0.832
c1711.03	0.851
c1711.04	0.564
c1711.05	0.440
c1711.07	0.491
c1711.08	0.612
c1711.09c	0.833
c1711.10c	1.476
c1711.11	2.052
c1711.12	0.951
c1711.15c	0.545
c1711.16	0.520
c1711.16.rc	0.782
c1718.02	
c1718.03	0.614
c1718.04	0.908
c1734.06	1.135
c1734.07c	1.506
c1734.08	1.376
c1734.09	
c1734.10c	1.104
c1734.11	
c1734.12c	0.987
c1734.13	
c1734.18c	0.644
c1739.01	1.316
