Gene name	Mean of ratios
c16e9.13	0.877
c16e9.14c	0.724
c16e9.15	0.828
c16e9.16c	0.493
c16e9.19	1.074
c16g5.02c	0.751
c16g5.03	0.703
c16g5.04	1.049
c16g5.05c	1.170
c16g5.06	0.860
c16g5.07c	0.990
c16g5.09	0.899
c16g5.10	1.027
c16g5.13	0.939
c16g5.15c	0.862
c16g5.15c.rc	
c16g5.16	0.969
c16g5.17	1.003
c16g5.19	
c16h5.04	1.033
c16h5.05c	1.105
c16h5.08c	1.310
c16h5.09c	1.104
c16h5.12c	0.850
c16h5.13	1.092
c16h5.14c	0.948
c16h5.15	1.094
c1703.01c	1.038
c1703.02	0.955
c1703.03c	1.086
c1703.04	1.190
c1703.05	1.091
c1703.06	1.249
c1703.07	1.080
c1703.08c	1.068
c1703.09	0.915
c1703.11	1.002
c1703.12	0.814
c1703.13c	1.163
c1705.02	0.982
c1705.02.rc	1.061
c1706.01	1.095
c1706.01.rc	1.092
c1709.03	1.007
c1709.04c	1.112
c1709.06	1.164
c1709.07	1.023
c1709.08	0.897
c1709.09	
c1709.10c	0.852
c1709.11c	0.849
c1709.12	0.932
c1709.13c	1.102
c1709.14	1.126
c1709.15c	0.929
c1709.16c	0.931
c1709.17	1.094
c1709.17.rc	1.243
c1709.20	0.920
c1711.03	0.944
c1711.04	1.146
c1711.05	1.244
c1711.07	1.219
c1711.08	0.988
c1711.09c	1.004
c1711.10c	0.846
c1711.11	0.816
c1711.12	0.694
c1711.15c	1.176
c1711.16	1.230
c1711.16.rc	1.163
c1718.02	1.622
c1718.03	1.389
c1718.04	1.014
c1734.06	1.038
c1734.07c	0.913
c1734.08	0.753
c1734.09	
c1734.10c	0.885
c1734.11	
c1734.12c	1.122
c1734.13	
c1734.18c	1.229
c1739.01	0.765
c1739.02c	0.989
c1739.03	0.801
c1739.04c	0.862
c1739.05	1.219
c1739.06c	1.060
c1739.07	0.915
c1739.08c	0.354
c1739.09c	1.061
c1739.10	0.895
c1739.11c	0.802
c1751.02c	0.979
c1751.04	0.988
c1753.05	1.062
c1753.05.rc	1.185
c1773.01	0.936
c1773.02c	0.574
c1773.03c	0.617
c1773.04	0.857
c1773.06c	0.122
c1773.08c	1.297
c1773.09c	0.915
c1773.10c	1.124
c1773.11c	0.814
c1773.12	1.911
c1773.13	0.768
c1773.15	0.968
c1773.16c	0.959
c1773.17c	0.639
c1778.01c	1.136
c1778.02	0.906
c1778.03c	0.939
c1778.05c	0.856
c1778.07	1.038
c1778.08c	0.878
c1778.09	1.071
c1778.09.rc	1.066
c1782.01	0.760
c1782.02c	1.105
c1782.03	1.021
c1782.04	0.991
c1782.05	0.969
c1782.06c	0.945
c1782.08c	0.924
c1782.09c	0.913
c1782.11	1.112
c1782.12c	0.860
c1783.01	0.893
c1783.02c	0.869
c1783.03	0.992
c1783.06c	1.048
c1786.01c	1.049
c1786.02	1.383
c1786.04	1.789
c1795.01c	
c1795.04c	0.867
c1795.05c	1.022
c1795.05c.rc	1.130
c1795.07	0.973
c1795.08c	1.013
c1795.08c.rc	0.993
c1795.09	0.851
c1795.10c	0.874
c1795.12c	0.788
c1795.13	0.970
c17a2.02c	1.212
c17a2.03c	1.035
c17a2.04c	1.234
c17a2.05	0.775
c17a2.06c	0.801
c17a2.07c	0.903
c17a2.08c	1.178
c17a2.10c	1.251
c17a2.11	1.169
c17a2.12	1.417
c17a2.14	0.958
c17a2.15	1.001
c17a3.02	0.993
c17a5.01	1.054
c17a5.04c	0.882
c17a5.05c	0.920
c17a5.06	0.812
c17a5.08	0.910
c17a5.09c	0.744
c17a5.10	0.764
c17a5.12	0.971
c17a5.13	1.108
c17a5.15c	1.143
c17a5.16	1.013
c17a5.18c	1.109
c17c9.05c	1.230
c17c9.06	0.896
c17c9.07	0.982
c17c9.08	0.913
c17c9.11c	0.792
c17c9.12	0.880
c17c9.14	1.167
c17c9.15c	1.014
c17c9.16c	1.284
c17d1.01	0.734
c17d1.02	1.245
c17d1.03c	1.127
c17d1.04	0.926
c17d1.05	1.244
c17d1.06	1.129
c17d1.07c	1.357
c17d11.01	0.951
c17d11.02c	0.898
c17d11.03c	0.788
c17d11.04c	1.282
c17d11.06	0.955
c17d11.08	0.727
c17d4.03c	0.899
c17f3.03c	1.001
c17g6.02c	0.944
c17g6.03	0.838
c17g6.05c	0.864
c17g6.07c	0.991
c17g6.10	1.173
c17g6.11c	0.972
c17g6.15c	1.133
c17g6.16c	0.951
c17g6.17	
c17g6.17.rc	1.146
c17g8.02	1.551
c17g8.03c	0.967
c17g8.04c	0.860
c17g8.05	1.147
c17g8.07	1.080
c17g8.08c	1.338
c17g8.09	0.992
c17g8.11c	0.994
c17g8.12	0.824
c17g8.13c	0.891
c17g9.02c	0.991
c17g9.03c	1.190
c17g9.04c	1.116
c17g9.05	1.162
c17g9.06c	1.231
c17g9.12c	1.282
c17g9.13c	1.518
c17h9.02	0.988
c17h9.03c	1.031
c17h9.04c	1.171
c17h9.05	1.207
c17h9.06c	1.119
c17h9.07	1.105
c17h9.08	1.175
c17h9.08.rc	1.331
c17h9.10c	1.035
c17h9.11	0.914
c17h9.12c	1.072
c17h9.13c	1.029
c17h9.14c	0.851
c17h9.16	1.039
c17h9.17c	0.979
c17h9.18c	0.844
c17h9.18c.rc	
c18.01c	0.998
c18.02	0.781
c18.03	0.633
c18.04	0.689
c18.05c	1.144
c18.06c	1.516
c18.08	1.062
c18.09c	1.137
c18.10	
c18.11c	0.968
c18.12c	1.297
c18.13	1.345
c18.15	0.730
c18.16c	0.682
c18.17c	1.132
c1805.01c	1.083
c1805.02c	1.005
c1805.03c	1.095
c1805.04	0.971
c1805.07c	0.902
c1805.09c	1.049
c1805.10	0.917
c1805.14	0.881
c1805.15c	0.913
c1805.16c	0.926
c1827.01c	1.184
c1827.02c	1.057
c1827.03c	1.007
c1827.04	0.908
c1827.05c	1.126
c1827.06c	0.980
c1827.07c	0.923
c1827.08c	0.825
c1834.05	0.980
c1834.06c	1.004
c1834.09	0.811
c1834.10c	1.003
c1840.04	0.861
c1840.05c	1.021
c1840.06	1.198
c1840.07c	1.058
c1840.08c	1.669
c1840.09	0.932
c1840.12	
c1851.02	1.029
c186.01	1.228
c186.02c	
c186.03	0.807
c186.03.rc	0.944
c186.04c	1.019
c186.05c	0.572
c186.06	
c186.06.rc	
c186.07c	
c186.08c	1.652
c186.09	0.943
c1861.03	0.878
c1861.04c	0.879
c1861.05	0.771
c1861.07	1.003
c1861.08c	0.938
c1861.09	0.926
c188.01c	
c188.04c	0.936
c188.05	
c188.07	1.025
c188.08c	0.844
c188.09c	0.798
c1884.01	1.110
c1884.01.rc	1.572
c18a7.01	0.801
c18a7.01.rc	0.859
c18a7.02c	0.872
c18b11.02c	1.024
c18b11.02c.rc	1.128
c18b11.03c	0.906
c18b11.04	0.859
c18b11.05	1.033
c18b11.06	1.232
c18b11.08c	1.003
c18b11.09c	0.871
c18b11.10	0.991
c18b11.11	1.018
c18b5.02c	0.176
c18b5.04	1.146
c18b5.05c	1.354
c18b5.06	1.039
c18b5.07c	
c18b5.08c	
c18b5.09c	0.960
c18b5.10c	0.973
c18b5.12	0.898
c18b5.13	1.080
c18e5.01	0.915
c18e5.01.rc	0.993
c18e5.02c	0.913
c18e5.03c	0.999
c18e5.05c	1.032
c18e5.07	1.092
c18e5.08	1.557
c18e5.09c	0.674
c18e5.10	
c18e5.14c	0.764
c18e5.15	1.090
c18g6.01c	1.030
c18g6.05c	0.926
c18g6.06	1.123
c18g6.09c	0.795
c18g6.10	1.179
c18g6.11c	1.124
c18g6.13	1.007
c18h10.01	1.244
c18h10.02	1.436
c18h10.05	0.799
c18h10.06c	1.043
c18h10.07	0.950
c18h10.08c	1.116
c18h10.09	1.000
c18h10.10c	0.942
c18h10.11c	1.444
c18h10.15	1.235
c18h10.16	1.009
c18h10.17c	0.985
c18h10.18c	0.813
c18h10.19	0.918
c18h10.20c	1.013
c18h10.21c	1.368
c1906.01	1.051
c1906.02c	0.908
c191.01	0.738
c191.02c	1.064
c191.03c	1.077
c191.04c	1.389
c191.05c	
c191.06	
c191.08	
c191.09c	1.322
c191.10	
c191.13	1.007
c1919.02	
c1919.03c	0.872
c1919.04	0.887
c1919.05	0.922
c1919.07	0.994
c1919.08c	0.753
c1919.11	
c1919.12c	0.965
c1919.13c	1.168
c1919.14c	0.860
c1921.02	0.952
c1921.04c	1.291
c1921.06c	0.782
c1952.01	1.064
c1952.02	1.249
c1952.03	1.337
c1952.04c	1.023
c1952.05	1.036
c1952.06c	
c1952.08c	0.714
c1952.09c	1.481
c1952.10c	0.593
c1952.13	0.834
c1952.14c	1.041
c1952.15c	1.114
c1952.16	
c1952.16.rc	0.823
c19a8.02	1.003
c19a8.03	
c19a8.04	1.074
c19a8.06	0.844
c19a8.07c	1.081
c19a8.09	1.001
c19a8.10	0.842
c19a8.11c	1.000
